circuit_type,size,variant,solver,backend,status,time_median,time_mean,time_std,time_min,time_max,num_runs
or_tree,8,base,gecode,minizinc,SAT,0.15138912200927734,0.15421978632609049,0.008090775003852125,0.14792466163635254,0.1633455753326416,3
or_tree,8,base,chuffed,minizinc,SAT,0.15361762046813965,0.15020378430684408,0.010336224773344145,0.13859248161315918,0.1584012508392334,3
or_tree,8,base,z3,smt,SAT,0.017398357391357422,0.01945320765177409,0.0038962622524051386,0.017014503479003906,0.023946762084960938,3
or_tree,8,base,cvc5,smt,SAT,0.01003718376159668,0.009181976318359375,0.002308227491503137,0.006568193435668945,0.0109405517578125,3
or_tree,8,sbc,gecode,minizinc,SAT,0.1651933193206787,0.16304612159729004,0.0042178778197723395,0.158186674118042,0.16575837135314941,3
or_tree,8,sbc,chuffed,minizinc,SAT,0.15541625022888184,0.15822426478068033,0.006180841510675748,0.1539459228515625,0.16531062126159668,3
or_tree,8,sbc,z3,smt,SAT,0.015653610229492188,0.014594554901123047,0.0018716264222235531,0.012433528900146484,0.01569652557373047,3
or_tree,8,sbc,cvc5,smt,SAT,0.008437395095825195,0.008535385131835938,0.0007838781938945883,0.0078051090240478516,0.009363651275634766,3
or_tree,8,sbc_half,gecode,minizinc,SAT,0.1571652889251709,0.16222039858500162,0.009059878293839954,0.1568160057067871,0.17267990112304688,3
or_tree,8,sbc_half,chuffed,minizinc,SAT,0.15333104133605957,0.15424354871114096,0.003724966487798567,0.15105962753295898,0.1583399772644043,3
or_tree,8,sbc_half,z3,smt,SAT,0.014172792434692383,0.014821608861287435,0.0017580425748682518,0.013480186462402344,0.016811847686767578,3
or_tree,8,sbc_half,cvc5,smt,SAT,0.007924079895019531,0.007642825444539388,0.0005255965740505916,0.007036447525024414,0.007967948913574219,3
or_tree,16,base,gecode,minizinc,SAT,0.16251182556152344,0.16096178690592447,0.0042705321144585195,0.15613269805908203,0.16424083709716797,3
or_tree,16,base,chuffed,minizinc,SAT,0.17001605033874512,0.16916163762410483,0.008186826759019999,0.16058111190795898,0.17688775062561035,3
or_tree,16,base,z3,smt,SAT,0.019002914428710938,0.019764184951782227,0.0027855513959500495,0.017438411712646484,0.022851228713989258,3
or_tree,16,base,cvc5,smt,SAT,0.010099172592163086,0.010276476542154947,0.00046242451728832124,0.00992894172668457,0.010801315307617188,3
or_tree,16,sbc,gecode,minizinc,SAT,0.14504790306091309,0.1474334398905436,0.006046477617091739,0.1429436206817627,0.15430879592895508,3
or_tree,16,sbc,chuffed,minizinc,SAT,0.15543675422668457,0.15607897440592447,0.0015012200028070145,0.15500569343566895,0.15779447555541992,3
or_tree,16,sbc,z3,smt,SAT,0.013437271118164062,0.01339427630106608,0.001205900110561344,0.01216745376586914,0.014578104019165039,3
or_tree,16,sbc,cvc5,smt,SAT,0.007471799850463867,0.008136351903279623,0.0013211716466399986,0.007279396057128906,0.009657859802246094,3
or_tree,16,sbc_half,gecode,minizinc,SAT,0.13891267776489258,0.14140566190083823,0.0061759607923374165,0.13686585426330566,0.1484384536743164,3
or_tree,16,sbc_half,chuffed,minizinc,SAT,0.14185237884521484,0.14256842931111655,0.007697329733602655,0.1352541446685791,0.15059876441955566,3
or_tree,16,sbc_half,z3,smt,SAT,0.013115882873535156,0.014373540878295898,0.0023367955913884578,0.01293492317199707,0.01706981658935547,3
or_tree,16,sbc_half,cvc5,smt,SAT,0.00764918327331543,0.007905244827270508,0.0008532934995973548,0.007209300994873047,0.008857250213623047,3
or_tree,32,base,gecode,minizinc,SAT,0.15434932708740234,0.1543265183766683,0.0022275131584953843,0.15208768844604492,0.15654253959655762,3
or_tree,32,base,chuffed,minizinc,SAT,0.14892148971557617,0.15500116348266602,0.013714321821594953,0.14537763595581055,0.17070436477661133,3
or_tree,32,base,z3,smt,SAT,0.02129817008972168,0.02103281021118164,0.0017994173272204335,0.019115447998046875,0.022684812545776367,3
or_tree,32,base,cvc5,smt,SAT,0.014035463333129883,0.014081875483194986,0.0012523427239003986,0.012853384017944336,0.015356779098510742,3
or_tree,32,sbc,gecode,minizinc,SAT,0.14453935623168945,0.14394704500834146,0.001067892926716253,0.142714262008667,0.14458751678466797,3
or_tree,32,sbc,chuffed,minizinc,SAT,0.14022183418273926,0.14105709393819174,0.008215149153625154,0.13329148292541504,0.1496579647064209,3
or_tree,32,sbc,z3,smt,SAT,0.015893936157226562,0.015425999959309896,0.0013784165837929087,0.013874530792236328,0.016509532928466797,3
or_tree,32,sbc,cvc5,smt,SAT,0.011325597763061523,0.011424064636230469,0.00047724569224494903,0.011003732681274414,0.011942863464355469,3
or_tree,32,sbc_half,gecode,minizinc,SAT,0.13878726959228516,0.14124671618143717,0.005299954998835273,0.13762331008911133,0.14732956886291504,3
or_tree,32,sbc_half,chuffed,minizinc,SAT,0.16581964492797852,0.16464813550313315,0.011596917565269555,0.1525099277496338,0.1756148338317871,3
or_tree,32,sbc_half,z3,smt,SAT,0.015636205673217773,0.015155633290608725,0.0025101240903611897,0.012439966201782227,0.017390727996826172,3
or_tree,32,sbc_half,cvc5,smt,SAT,0.010449886322021484,0.010472695032755533,0.0016331675162860467,0.008851051330566406,0.012117147445678711,3
or_tree,64,base,gecode,minizinc,SAT,0.17871904373168945,0.17659966150919595,0.0076511077852038705,0.16811227798461914,0.1829676628112793,3
or_tree,64,base,chuffed,minizinc,SAT,0.15623211860656738,0.15796311696370444,0.0040387255819360835,0.15507841110229492,0.16257882118225098,3
or_tree,64,base,z3,smt,SAT,0.02219223976135254,0.022409359614054363,0.001960256640298619,0.020566701889038086,0.02446913719177246,3
or_tree,64,base,cvc5,smt,SAT,0.024138212203979492,0.023776849110921223,0.00167541006001349,0.021950244903564453,0.025242090225219727,3
or_tree,64,sbc,gecode,minizinc,SAT,0.1624302864074707,0.16153152783711752,0.0029499429756899395,0.15823674201965332,0.16392755508422852,3
or_tree,64,sbc,chuffed,minizinc,SAT,0.16086101531982422,0.1603527069091797,0.0019368188133131337,0.15821242332458496,0.16198468208312988,3
or_tree,64,sbc,z3,smt,SAT,0.013517379760742188,0.015154361724853516,0.002852283760155141,0.01349782943725586,0.0184478759765625,3
