problem,size,variant,solver,backend,status,time_median,time_mean,time_std,time_min,time_max,par2,num_runs,num_sat,num_unsat,num_timeout,num_error
latin_square,35,sbc,cvc5,smt,TIMEOUT,,,,,,240,3,0,0,3,0
latin_square,40,base,gecode,minizinc,SAT,26.1657,26.364866666666668,0.6941217784606193,25.7921,27.1368,26.364866666666668,3,3,0,0,0
latin_square,40,base,chuffed,minizinc,SAT,0.022,0.022333333333333334,0.0005773502691896262,0.022,0.023,0.022333333333333334,3,3,0,0,0
latin_square,40,base,z3,smt,TIMEOUT,,,,,,240,3,0,0,3,0
latin_square,40,base,cvc5,smt,TIMEOUT,,,,,,240,3,0,0,3,0
latin_square,40,sbc,gecode,minizinc,SAT,83.5321,84.5202,2.0118118127697695,83.1935,86.835,84.5202,3,3,0,0,0
latin_square,40,sbc,chuffed,minizinc,SAT,0.03,0.030333333333333334,0.0015275252316519466,0.029,0.032,0.030333333333333334,3,3,0,0,0
latin_square,40,sbc,z3,smt,TIMEOUT,,,,,,240,3,0,0,3,0
latin_square,40,sbc,cvc5,smt,TIMEOUT,,,,,,240,3,0,0,3,0
latin_square,45,base,gecode,minizinc,SAT,0.0826939,0.0825152,0.0013338582345961611,0.081101,0.0837507,0.0825152,3,3,0,0,0
latin_square,45,base,chuffed,minizinc,SAT,0.037,0.03666666666666667,0.0015275252316519442,0.035,0.038,0.03666666666666667,3,3,0,0,0
latin_square,45,base,z3,smt,TIMEOUT,,,,,,240,3,0,0,3,0
latin_square,45,base,cvc5,smt,TIMEOUT,,,,,,240,3,0,0,3,0
latin_square,45,sbc,gecode,minizinc,SAT,3.17379,3.1597666666666666,0.04753264597446001,3.1068,3.19871,3.1597666666666666,3,3,0,0,0
latin_square,45,sbc,chuffed,minizinc,SAT,0.048,0.04766666666666667,0.0015275252316519481,0.046,0.049,0.04766666666666667,3,3,0,0,0
latin_square,45,sbc,z3,smt,TIMEOUT,,,,,,240,3,0,0,3,0
latin_square,45,sbc,cvc5,smt,TIMEOUT,,,,,,240,3,0,0,3,0
latin_square,50,base,gecode,minizinc,TIMEOUT,,,,,,240,3,0,0,3,0
latin_square,50,base,chuffed,minizinc,SAT,0.201,0.19033333333333333,0.022030282189144403,0.165,0.205,0.19033333333333333,3,3,0,0,0
latin_square,50,base,z3,smt,TIMEOUT,,,,,,240,3,0,0,3,0
latin_square,50,base,cvc5,smt,TIMEOUT,,,,,,240,3,0,0,3,0
latin_square,50,sbc,gecode,minizinc,SAT,16.2411,15.792166666666667,1.0859796744568175,14.5537,16.5817,15.792166666666667,3,3,0,0,0
latin_square,50,sbc,chuffed,minizinc,SAT,0.092,0.09233333333333334,0.01550268793897798,0.077,0.108,0.09233333333333334,3,3,0,0,0
latin_square,50,sbc,z3,smt,TIMEOUT,,,,,,240,3,0,0,3,0
latin_square,50,sbc,cvc5,smt,TIMEOUT,,,,,,240,3,0,0,3,0
